date,probability,realised_return,signal,position,turnover,cost,strategy_return,strategy_equity,buy_hold_equity
2025-08-12 00:00:00+00:00,0.5351678691052336,0.012140515376580119,0.0,0.0,0.0,0.0,0.0,1.0,1.0121405153765801
2025-08-13 00:00:00+00:00,0.5643330356386168,0.026388279596092357,1.0,0.0,0.0,0.0,0.0,1.0,1.0388491622868703
2025-08-14 00:00:00+00:00,0.6015087944798109,-0.040411222672351976,1.0,1.0,1.0,0.0015,-0.04191122267235198,0.9580887773276481,0.9968679974667093
2025-08-15 00:00:00+00:00,0.5199061785529864,-0.008121240187970669,0.0,1.0,0.0,0.0,-0.008121240187970669,0.9503079082455711,0.9887721930235808
2025-08-16 00:00:00+00:00,0.49732323945513285,0.0007921746665282559,0.0,0.0,1.0,0.0015,-0.0015,0.9488824463832027,0.9895554733058617
2025-08-17 00:00:00+00:00,0.49003615711961673,-0.00032588834829794244,0.0,0.0,0.0,0.0,-0.0,0.9488824463832027,0.9892329887071168
2025-08-18 00:00:00+00:00,0.5720165229122718,-0.01022323279139703,1.0,0.0,0.0,0.0,-0.0,0.9488824463832027,0.9791198295786345
2025-08-19 00:00:00+00:00,0.5626316774102338,-0.029428514056440758,1.0,1.0,1.0,0.0015,-0.03092851405644076,0.9195349223023299,0.9503057879109398
2025-08-20 00:00:00+00:00,0.4818425488592277,0.012794003430595335,0.0,1.0,0.0,0.0,0.012794003430595335,0.9312994552528181,0.962464003421587
2025-08-21 00:00:00+00:00,0.5825293178932085,-0.01623902974513114,1.0,0.0,1.0,0.0015,-0.0015,0.929902506069939,0.9468345218414058
2025-08-22 00:00:00+00:00,0.5071459849877749,0.03962900798880531,0.0,1.0,1.0,0.0015,0.03812900798880531,0.9653587661526897,0.9843566346715356
2025-08-23 00:00:00+00:00,0.5309067772414015,-0.012832252765613172,0.0,0.0,1.0,0.0015,-0.0015,0.9639107280034607,0.9717251215239221
2025-08-24 00:00:00+00:00,0.5203098529936191,-0.016605933647771742,0.0,0.0,0.0,0.0,-0.0,0.9639107280034607,0.9555887186320229
2025-08-25 00:00:00+00:00,0.5121326100459637,-0.029385900493979156,0.0,0.0,0.0,0.0,-0.0,0.9639107280034607,0.9275078836331332
2025-08-26 00:00:00+00:00,0.43827962160023315,0.015240086898922645,0.0,0.0,0.0,0.0,0.0,0.9639107280034607,0.941643184379138
2025-08-27 00:00:00+00:00,0.44303581374949375,-0.005193022862549412,0.0,0.0,0.0,0.0,-0.0,0.9639107280034607,0.9367532097942932
2025-08-28 00:00:00+00:00,0.4835540200037017,0.01189280397942638,0.0,0.0,0.0,0.0,0.0,0.9639107280034607,0.9478938320954752
2025-08-29 00:00:00+00:00,0.5312300350664922,-0.036731759955323295,0.0,0.0,0.0,0.0,-0.0,0.9639107280034607,0.9130760233918127
2025-08-30 00:00:00+00:00,0.48159499501646647,0.003664157476186425,0.0,0.0,0.0,0.0,0.0,0.9639107280034607,0.9164216777292504
2025-08-31 00:00:00+00:00,0.5055460863979229,-0.00525107534173741,0.0,0.0,0.0,0.0,-0.0,0.9639107280034607,0.9116094784546928
2025-09-01 00:00:00+00:00,0.49112333399859665,0.009367272930950854,0.0,0.0,0.0,0.0,0.0,0.9639107280034607,0.9201487732458197
2025-09-02 00:00:00+00:00,0.45409371484058575,0.017848801737061493,0.0,0.0,0.0,0.0,0.0,0.9639107280034607,0.9365723262680846
2025-09-03 00:00:00+00:00,0.4782296955623819,0.004699840343410866,0.0,0.0,0.0,0.0,0.0,0.9639107280034607,0.9409740666716016
2025-09-04 00:00:00+00:00,0.49270187978899366,-0.008947195185422974,0.0,0.0,0.0,0.0,-0.0,0.9639107280034607,0.9325549880326696
2025-09-05 00:00:00+00:00,0.5098907903160812,-0.0006558419928113235,0.0,0.0,0.0,0.0,-0.0,0.9639107280034607,0.9319433793109121
2025-09-06 00:00:00+00:00,0.46958367227527764,-0.0038525555367432407,0.0,0.0,0.0,0.0,-0.0,0.9639107280034607,0.9283530156850166
2025-09-07 00:00:00+00:00,0.49242363201306616,0.008554542812086785,0.0,0.0,0.0,0.0,0.0,0.9639107280034607,0.936294651302424
2025-09-08 00:00:00+00:00,0.5094667677494643,0.008130177859939192,0.0,0.0,0.0,0.0,0.0,0.9639107280034607,0.9439068933468224
2025-09-09 00:00:00+00:00,0.5010279743209805,-0.004826232823193166,0.0,0.0,0.0,0.0,-0.0,0.9639107280034607,0.9393513789161138
2025-09-10 00:00:00+00:00,0.5206662637783083,0.02174124101370767,0.0,0.0,0.0,0.0,0.0,0.9639107280034607,0.9597740436416876
2025-09-11 00:00:00+00:00,0.5227979270508489,0.013620945043858246,0.0,0.0,0.0,0.0,0.0,0.9639107280034607,0.9728470731446527
2025-09-12 00:00:00+00:00,0.5288155511901531,0.005142859655061782,0.0,0.0,0.0,0.0,0.0,0.9639107280034607,0.9778502891076732
2025-09-13 00:00:00+00:00,0.5070264001432897,-0.0013011908618274504,0.0,0.0,0.0,0.0,-0.0,0.9639107280034607,0.976577919247251
2025-09-14 00:00:00+00:00,0.4983874420605238,-0.004681752350561785,0.0,0.0,0.0,0.0,-0.0,0.9639107280034607,0.9720058232783084
2025-09-15 00:00:00+00:00,0.5014170258966412,0.0003224981011604733,0.0,0.0,0.0,0.0,0.0,0.9639107280034607,0.9723192933106326
2025-09-16 00:00:00+00:00,0.49565237765966547,0.012112382641498831,0.0,0.0,0.0,0.0,0.0,0.9639107280034607,0.9840963966409227
