model,mae_days,median_absolute_error_days,p50_pinball_loss
scheduled_lead_time,0.6997663551401869,0.0,0.34988317757009346
learned_p50,4.436031052176876,1.0158046703862524,2.218015526088438
supplier_historical_median,57.285630841121495,40.0,28.642815420560748
overall_historical_median,62.23598130841121,48.0,31.117990654205606
lane_historical_median,63.467289719626166,44.75,31.733644859813083
