year,shipments,severe_delay_rate
2006,52,0.0
2007,455,0.02857142857142857
2008,677,0.0103397341211226
2009,844,0.013033175355450236
2010,931,0.07303974221267455
2011,824,0.16990291262135923
2012,898,0.031180400890868598
2013,870,0.09540229885057472
2014,910,0.12197802197802197
2015,569,0.0843585237258348
