shipment_mode,shipments,severe_delay_rate,average_delay_days,represented_value_usd
Air,4541,0.04822726271746312,-2.6044924025545035,627285937.45
Truck,1442,0.14008321775312066,-9.628987517337032,587382369.1
Air Charter,494,0.06680161943319839,-19.15182186234818,246372231.15
Ocean,327,0.1620795107033639,6.140672782874618,126177943.79
