shipment_id,supplier,product,country,shipment_mode,scheduled_delivery_date,predicted_severe_delay_probability,risk_rank,review_flag,total_value_usd,top_prediction_contributors
DN-4158,SCMS from RDC,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Zimbabwe,Truck,2015-03-16,0.046153846153846156,913,0,130400.0,Not computed
DN-4051,SCMS from RDC,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",Mozambique,Truck,2015-03-23,0.046153846153846156,914,0,202875.84,Not computed
ASN-30812,HETERO LABS LIMITED,"Lamivudine 150mg, tablets, 60 Tabs",Haiti,Air,2015-03-26,0.046153846153846156,915,0,6480.0,Not computed
ASN-30674,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Vietnam,Air,2015-03-31,0.046153846153846156,916,0,560504.72,Not computed
DN-4149,SCMS from RDC,"Lamivudine/Tenofovir Disoproxil Fumarate 300/300mg, tablets, 30 Tabs",Rwanda,Truck,2015-03-31,0.046153846153846156,917,0,175471.99,Not computed
DN-4163,SCMS from RDC,"Lamivudine/Tenofovir Disoproxil Fumarate 300/300mg, tablets, 30 Tabs",Uganda,Truck,2015-03-31,0.046153846153846156,918,0,125605.35,Not computed
ASN-31045,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml",Rwanda,Air,2015-04-02,0.046153846153846156,919,0,7766.64,Not computed
ASN-31155,Aurobindo Pharma Limited,"Lopinavir/Ritonavir 100/25mg, tablets, 60 Tabs",Uganda,Air,2015-04-08,0.046153846153846156,920,0,18773.4,Not computed
ASN-31156,Aurobindo Pharma Limited,"Lopinavir/Ritonavir 100/25mg, tablets, 60 Tabs",Uganda,Air,2015-04-08,0.046153846153846156,921,0,34170.0,Not computed
ASN-31157,Aurobindo Pharma Limited,"Lopinavir/Ritonavir 100/25mg, tablets, 60 Tabs",Uganda,Air,2015-04-08,0.046153846153846156,922,0,12542.4,Not computed
ASN-31187,EMCURE PHARMACEUTICALS LTD,"Atazanavir/Ritonavir 300/100mg, tablets, 30 Tabs",Uganda,Air,2015-04-08,0.046153846153846156,923,0,31968.0,Not computed
ASN-30463,HETERO LABS LIMITED,"Lamivudine/Tenofovir Disoproxil Fumarate 300/300mg, tablets, 30 Tabs",Haiti,Ocean,2015-04-09,0.046153846153846156,924,0,1107149.43,Not computed
ASN-30880,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak HIV, Kit, 20 Tests",Côte d'Ivoire,Air,2015-04-09,0.046153846153846156,925,0,74400.0,Not computed
ASN-30907,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak HIV, Kit, 20 Tests",Côte d'Ivoire,Air,2015-04-09,0.046153846153846156,926,0,38130.0,Not computed
ASN-30499,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Lamivudine/Zidovudine 30/60mg, dispersible tablets, 60 Tabs",Ghana,Air,2015-04-10,0.046153846153846156,927,0,44894.4,Not computed
ASN-31318,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests",Nigeria,Air,2015-04-15,0.046153846153846156,928,0,214528.0,Not computed
ASN-31141,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml",Haiti,Air,2015-04-24,0.046153846153846156,929,0,18800.2,Not computed
DN-4176,SCMS from RDC,"Tenofovir Disoproxil Fumarate 300mg, tablets, 30 Tabs",Rwanda,Air,2015-04-24,0.046153846153846156,930,0,710.0,Not computed
ASN-31638,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml",Zambia,Air,2015-04-25,0.046153846153846156,931,0,69807.3,Not computed
ASN-31720,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak HIV, Kit, 20 Tests",Ethiopia,Air,2015-04-27,0.046153846153846156,932,0,11700.0,Not computed
ASN-31704,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak HIV, Kit, 20 Tests",Uganda,Air,2015-04-28,0.046153846153846156,933,0,192200.0,Not computed
ASN-31768,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak HIV, Kit, 20 Tests",Nigeria,Air,2015-04-30,0.046153846153846156,934,0,51840.0,Not computed
DN-4213,SCMS from RDC,"Abacavir/Lamivudine 600/300mg, tablets, 30 Tabs",Rwanda,Truck,2015-04-30,0.046153846153846156,935,0,668901.05,Not computed
