fulfill_via,shipments,severe_delay_rate,average_delay_days,represented_value_usd
Direct Drop,3590,0.04094707520891365,-0.6245125348189415,542212022.34
From RDC,3440,0.10523255813953489,-9.15203488372093,1085372434.95
