trim_bound,retained_rows,retained_fraction,weighted_risk_difference_association
0.01,5337,0.7591749644381224,0.082846918973151
0.05,4159,0.5916073968705547,0.10679403014488045
0.1,3281,0.46671408250355617,0.1199371764519108
