username,repository_full_name,repository_url,rank,final_score,content_similarity,language_score,topic_score,activity_score,quality_score,popularity_score,explanation
sindresorhus,geodienst/lighthousemap,https://github.com/geodienst/lighthousemap,1,0.44494454646080656,0.13699225924909114,1.0,0.0,1.0,0.6859151256470237,0.3527443270940823,Javascript is a strong language in the public profile; the project has been active recently.
sindresorhus,jellyfin/jellyfin-web,https://github.com/jellyfin/jellyfin-web,2,0.4433315104566885,0.02675313632640017,1.0,0.05,1.0,0.8221523742147826,0.608580659889458,Javascript is a strong language in the public profile; topics overlap with hacktoberfest and media; the project has been active recently.
sindresorhus,json-schema-org/json-schema-spec,https://github.com/json-schema-org/json-schema-spec,3,0.4372928626313626,0.030471253656024575,1.0,0.0,1.0,0.830956227996441,0.5862786292923746,Javascript is a strong language in the public profile; the project has been active recently; it includes contribution guidance.
sindresorhus,babalae/bettergi-scripts-list,https://github.com/babalae/bettergi-scripts-list,4,0.4347379595969293,0.13699225924909114,1.0,0.0,1.0,0.449495014018245,0.43981454775833273,Javascript is a strong language in the public profile; the project has been active recently.
sindresorhus,WeiGiegie/666,https://github.com/WeiGiegie/666,5,0.43004288893101167,0.13699225924909114,1.0,0.0,1.0,0.45670149440801294,0.3870986567873417,Javascript is a strong language in the public profile; the project has been active recently.
sindresorhus,laoma2053/awesome-zhuiju-free,https://github.com/laoma2053/awesome-zhuiju-free,6,0.42604902489868457,0.019746945680915874,1.0,0.01875,1.0,0.7333255059718339,0.5723420614857158,Javascript is a strong language in the public profile; topics overlap with awesome-list; the project has been active recently.
sindresorhus,Baskerville42/outage-data-ua,https://github.com/Baskerville42/outage-data-ua,7,0.42506182967174233,0.13699225924909114,1.0,0.0,1.0,0.6285892374087166,0.19977786979408538,Javascript is a strong language in the public profile; the project has been active recently.
sindresorhus,beyondworks/argo,https://github.com/beyondworks/argo,8,0.42148356088489974,0.13699225924909114,1.0,0.0,1.0,0.5720664182241453,0.20921343727331673,Javascript is a strong language in the public profile; the project has been active recently.
sindresorhus,AnEntrypoint/gm,https://github.com/AnEntrypoint/gm,9,0.4146913923015505,0.13699225924909114,1.0,0.0,1.0,0.6209580391540724,0.1021784546958828,Javascript is a strong language in the public profile; the project has been active recently.
sindresorhus,jasonkneen/tiny-world-builder,https://github.com/jasonkneen/tiny-world-builder,10,0.40818908519407554,0.027816486292899813,1.0,0.0,1.0,0.6018382030104903,0.4891543443607643,Javascript is a strong language in the public profile; the project has been active recently.
karpathy,openai/openai-agents-python,https://github.com/openai/openai-agents-python,1,0.4966607267349356,0.06916490819475907,1.0,0.3516483516483517,1.0,0.6432470208489531,0.753371995913135,Python is a strong language in the public profile; topics overlap with llm and ai; the project has been active recently.
karpathy,Skyvern-AI/skyvern,https://github.com/Skyvern-AI/skyvern,2,0.4859306661541848,0.07098378580535596,1.0,0.11538461538461539,1.0,0.8959863767716336,0.7201208784415792,Python is a strong language in the public profile; topics overlap with llm and ai; the project has been active recently.
karpathy,paperless-ngx/paperless-ngx,https://github.com/paperless-ngx/paperless-ngx,3,0.48574171357926227,0.05631414870937117,1.0,0.11188811188811189,1.0,0.9100260714083147,0.7698739495627522,Python is a strong language in the public profile; topics overlap with machine-learning and hacktoberfest; the project has been active recently.
