model,decile,windows,expected_successes,actual_successes,trials,min_expected_rate,max_expected_rate,mean_expected_rate,actual_rate
click_rate,0,591,2285.9503188536096,1983.0,10070.0,0.1284904992715115,0.25137313077092505,0.22700598995567126,0.19692154915590865
click_rate,1,590,3496.915008347494,3364.0,13040.0,0.25143456247874396,0.280153805116719,0.26816832886100417,0.2579754601226994
click_rate,2,590,6447.863418200266,6163.0,22071.0,0.28024249167439247,0.30113318482332235,0.29214187930770086,0.27923519550541437
click_rate,3,590,7523.309700321642,7053.0,24317.0,0.3011424605583489,0.3181977745086795,0.3093847802081524,0.2900440021384217
click_rate,4,590,7423.634063794858,7197.0,22693.0,0.3182109708513871,0.3353289039051836,0.3271332156962437,0.31714625655488476
click_rate,5,590,8082.555741597847,7985.0,23523.0,0.33537721093531225,0.3531820513785545,0.34360225063120553,0.33945500148790547
click_rate,6,590,8126.3088881988415,8367.0,22304.0,0.35318994564695205,0.37557490949571126,0.36434311729729385,0.3751345050215208
click_rate,7,590,8212.01137970456,8261.0,21012.0,0.3755899796509796,0.404137295845123,0.39082483246261945,0.39315629164287075
click_rate,8,590,9836.308140553212,9665.0,23230.0,0.4041460071020357,0.45505741018791274,0.42343125874099063,0.4160568230736117
click_rate,9,591,10599.305138888889,10796.0,20107.0,0.45510063711869,0.7891512738982845,0.5271450310284422,0.5369274382056001
conversion_rate,0,591,114.68197023636787,44.0,7627.0,0.006520559477437843,0.017997488141822143,0.015036314440326192,0.005768978628556444
conversion_rate,1,590,230.63400555977404,116.0,11465.0,0.018000012665486512,0.021860147251723593,0.020116354606173052,0.010117749672917575
conversion_rate,2,590,374.2676441402181,215.0,15808.0,0.021865602534118306,0.02531959832577029,0.023675837812513797,0.013600708502024291
conversion_rate,3,590,542.1756086518831,389.0,19982.0,0.025320521798992194,0.028680558982649127,0.027133200312875742,0.019467520768691824
conversion_rate,4,590,687.4639804301165,512.0,22664.0,0.028686145596787598,0.03203823047919858,0.030332861826249405,0.022590893046240734
conversion_rate,5,590,665.7668299585678,529.0,19564.0,0.032038462749871065,0.03634052469850473,0.0340301998547622,0.02703946023308117
conversion_rate,6,590,958.5272173402313,814.0,24399.0,0.03634986944375807,0.04250264577057594,0.03928551241199358,0.03336202303373089
conversion_rate,7,590,1172.2674458854576,1045.0,25425.0,0.04250918926117092,0.05197925689565351,0.04610688086078496,0.04110127826941986
conversion_rate,8,590,1660.5553385731566,1856.0,26951.0,0.052008398095146194,0.07474748537614977,0.06161386733602303,0.06886571926830173
conversion_rate,9,591,3655.4118161016104,4235.0,28482.0,0.07478915151840561,0.5290125317343058,0.1283411212731413,0.14869040095498912
