repository_id,language,language_bytes,language_percentage,source
402376337,Java,,,repository_primary_language
149121954,Java,,,repository_primary_language
93584426,Java,,,repository_primary_language
1133883850,Java,,,repository_primary_language
685314420,Java,,,repository_primary_language
28585874,Java,,,repository_primary_language
676985676,Java,,,repository_primary_language
1006121879,Java,,,repository_primary_language
406639637,Java,,,repository_primary_language
1109812194,Java,,,repository_primary_language
93590258,Java,,,repository_primary_language
2211243,Java,,,repository_primary_language
32141902,Java,,,repository_primary_language
507282217,Java,,,repository_primary_language
1221844959,Java,,,repository_primary_language
14176513,Java,,,repository_primary_language
54298946,Java,,,repository_primary_language
28911199,Java,,,repository_primary_language
152124966,Java,,,repository_primary_language
256853046,Java,,,repository_primary_language
76474200,Java,,,repository_primary_language
22321368,Java,,,repository_primary_language
740594076,Java,,,repository_primary_language
81968413,Java,,,repository_primary_language
10296149,Java,,,repository_primary_language
1199071865,Java,,,repository_primary_language
10416648,Java,,,repository_primary_language
162494052,Java,,,repository_primary_language
327165048,Java,,,repository_primary_language
996076967,Java,,,repository_primary_language
1308564256,Java,,,repository_primary_language
363171841,Java,,,repository_primary_language
19753195,Java,,,repository_primary_language
1006123844,Java,,,repository_primary_language
436039945,Java,,,repository_primary_language
956645120,Java,,,repository_primary_language
584263440,Go,,,repository_primary_language
1004211431,Go,,,repository_primary_language
1194256273,Go,,,repository_primary_language
1131825433,Go,,,repository_primary_language
1294988947,Go,,,repository_primary_language
886478903,Go,,,repository_primary_language
1261698251,Go,,,repository_primary_language
1188938390,Go,,,repository_primary_language
399811207,Go,,,repository_primary_language
886433276,Go,,,repository_primary_language
716710248,Go,,,repository_primary_language
825072146,Go,,,repository_primary_language
1177353643,Go,,,repository_primary_language
864637121,Go,,,repository_primary_language
533087958,Go,,,repository_primary_language
66050533,Go,,,repository_primary_language
223904817,Go,,,repository_primary_language
1249203338,Go,,,repository_primary_language
1114840147,Go,,,repository_primary_language
1127142823,Go,,,repository_primary_language
1295119691,Go,,,repository_primary_language
513534390,Go,,,repository_primary_language
969211164,Go,,,repository_primary_language
1246231570,Go,,,repository_primary_language
258634746,Go,,,repository_primary_language
446826327,Go,,,repository_primary_language
688998138,Go,,,repository_primary_language
1110030311,Go,,,repository_primary_language
1232542345,Go,,,repository_primary_language
1148270277,Go,,,repository_primary_language
1193580839,Go,,,repository_primary_language
1147759868,Go,,,repository_primary_language
239001792,Go,,,repository_primary_language
1313704396,Go,,,repository_primary_language
1197619119,Go,,,repository_primary_language
1197919741,Go,,,repository_primary_language
51203449,Go,,,repository_primary_language
1298065682,Go,,,repository_primary_language
1221281475,Go,,,repository_primary_language
1074561042,Go,,,repository_primary_language
1278395255,Go,,,repository_primary_language
339993112,Go,,,repository_primary_language
351637721,Go,,,repository_primary_language
916868674,Go,,,repository_primary_language
842764629,Go,,,repository_primary_language
1260475954,Go,,,repository_primary_language
1286778508,Go,,,repository_primary_language
638054601,Go,,,repository_primary_language
1282300301,Go,,,repository_primary_language
793852040,Go,,,repository_primary_language
869954329,C++,,,repository_primary_language
150316749,C++,,,repository_primary_language
456549280,C++,,,repository_primary_language
12393467,C++,,,repository_primary_language
1461954,C++,,,repository_primary_language
11577304,C++,,,repository_primary_language
1197723714,C++,,,repository_primary_language
482056379,C++,,,repository_primary_language
1232453158,C++,,,repository_primary_language
125767856,C++,,,repository_primary_language
1051874523,C++,,,repository_primary_language
938602286,C++,,,repository_primary_language
86529640,C++,,,repository_primary_language
1180091786,C++,,,repository_primary_language
5499178,C++,,,repository_primary_language
501491157,C++,,,repository_primary_language
1017945204,C++,,,repository_primary_language
13653100,C++,,,repository_primary_language
728872455,C++,,,repository_primary_language
1125653187,C++,,,repository_primary_language
1120988198,C++,,,repository_primary_language
213916896,C++,,,repository_primary_language
32611596,C++,,,repository_primary_language
757105826,C++,,,repository_primary_language
1148587428,C++,,,repository_primary_language
1305556195,C++,,,repository_primary_language
1151987382,C++,,,repository_primary_language
506056362,C++,,,repository_primary_language
37783167,C++,,,repository_primary_language
110795721,C++,,,repository_primary_language
1160129837,C++,,,repository_primary_language
985128974,C++,,,repository_primary_language
1064651952,C++,,,repository_primary_language
517990,C++,,,repository_primary_language
1316707723,C++,,,repository_primary_language
1282685130,C++,,,repository_primary_language
1227588616,C++,,,repository_primary_language
487620760,C++,,,repository_primary_language
1268656297,C++,,,repository_primary_language
32898755,C++,,,repository_primary_language
32898774,C++,,,repository_primary_language
33014811,C++,,,repository_primary_language
144343719,C++,,,repository_primary_language
292935801,C++,,,repository_primary_language
590785440,C++,,,repository_primary_language
632024122,C++,,,repository_primary_language
1304356300,C++,,,repository_primary_language
41646286,C++,,,repository_primary_language
697594816,C++,,,repository_primary_language
30603243,C++,,,repository_primary_language
988948990,R,,,repository_primary_language
985820966,R,,,repository_primary_language
202449181,R,,,repository_primary_language
355805398,R,,,repository_primary_language
757860358,R,,,repository_primary_language
467259643,R,,,repository_primary_language
172829996,R,,,repository_primary_language
553057771,R,,,repository_primary_language
103085772,R,,,repository_primary_language
920851202,R,,,repository_primary_language
850470197,R,,,repository_primary_language
681989124,R,,,repository_prﬂ_m¢Gß≤⁄Óù∆≠y›
224154555,R,,,repository_primary_language
461287430,R,,,repository_primary_language
4892935,R,,,repository_primary_language
52634163,R,,,repository_primary_language
988927439,R,,,repository_primary_language
648731296,R,,,repository_primary_language
164153759,R,,,repository_primary_language
8270378,R,,,repository_primary_language
304737865,R,,,repository_primary_language
124605775,R,,,repository_primary_language
314690638,R,,,repository_primary_language
765830271,R,,,repository_primary_language
58158965,R,,,repository_primary_language
455552057,R,,,repository_primary_language
416389826,R,,,repository_primary_language
13415722,R,,,repository_primary_language
1083253848,JavaScript,,,repository_primary_language
1085689636,JavaScript,,,repository_primary_language
1087244716,JavaScript,,,repository_primary_language
967268430,Swift,,,repository_primary_language
1199636461,JavaScript,,,repository_primary_language
829743861,JavaScript,,,repository_primary_language
1166652904,Swift,,,repository_primary_language
1139375731,TypeScript,,,repository_primary_language
1094707785,JavaScript,,,repository_primary_language
1089049432,JavaScript,,,repository_primary_language
1079867535,JavaScript,,,repository_primary_language
1070019559,CSS,,,repository_primary_language
968606461,Rust,,,repository_primary_language
5617111,JavaScript,,,repository_primary_language
4205767,JavaScript,,,repository_primary_language
1078740862,JavaScript,,,repository_primary_language
716660564,JavaScript,,,repository_primary_language
417489028,TypeScript,,,repository_primary_language
368854291,Swift,,,repository_primary_language
1045579103,JavaScript,,,repository_primary_language
1062812718,JavaScript,,,repository_primary_language
989351889,JavaScript,,,repository_primary_language
847271283,JavaScript,,,repository_primary_language
1007222028,Python,,,repository_primary_language
965415649,Rust,,,repository_primary_language
804489750,JavaScript,,,repository_primary_language
833786672,JavaScript,,,repository_primary_language
833851449,JavaScript,,,repository_primary_language
847384854,JavaScript,,,repository_primary_language
959682770,Ruby,,,repository_primary_language
709150027,JavaScript,,,repository_primary_language
844465325,JavaScript,,,repository_primary_language
12277886,JavaScript,,,repository_primary_language
833150575,JavaScript,,,repository_primary_language
793180075,JavaScript,,,repository_primary_language
792692503,JavaScript,,,repository_primary_language
796364535,JavaScript,,,repository_primary_language
796362025,JavaScript,,,repository_primary_language
796260752,JavaScript,,,repository_primary_language
807854206,JavaScript,,,repository_primary_language
796367049,JavaScript,,,repository_primary_language
796369880,JavaScript,,,repository_primary_language
791741481,JavaScript,,,repository_primary_language
770212480,JavaScript,,,repository_primary_language
708699084,JavaScript,,,repository_primary_language
4746018,JavaScript,,,repository_primary_language
13967755,JavaScript,,,repository_primary_language
770018650,Swift,,,repository_primary_language
19270630,JavaScript,,,repository_primary_language
714675984,JavaScript,,,repository_primary_language
718777299,JavaScript,,,repository_primary_language
714044439,JavaScript,,,repository_primary_language
713556972,JavaScript,,,repository_primary_language
721821057,JavaScript,,,repository_primary_language
721577994,JavaScript,,,repository_primary_language
711160838,JavaScript,,,repository_primary_language
518089561,JavaScript,,,repository_primary_language
736897394,TypeScript,,,repository_primary_language
713879159,JavaScript,,,repository_primary_language
711135937,JavaScript,,,repository_primary_language
517645892,Swift,,,repository_primary_language
715487381,JavaScript,,,repository_primary_language
116527475,JavaScript,,,repository_primary_language
704879340,Swift,,,repository_primary_language
710923484,JavaScript,,,repository_primary_language
710860821,JavaScript,,,repository_primary_language
38926116,JavaScript,,,repository_primary_language
712576150,JavaScript,,,repository_primary_language
476825694,JavaScript,,,repository_primary_language
499463617,JavaScript,,,repository_primary_language
708694533,JavaScript,,,repository_primary_language
711116353,JavaScript,,,repository_primary_language
172165671,Rust,,,repository_primary_language
380405181,HTML,,,repository_primary_language
696831768,JavaScript,,,repository_primary_language
683058480,JavaScript,,,repository_primary_language
580189446,Swift,,,repository_primary_language
679763076,Swift,,,repository_primary_language
567482582,Swift,,,repository_primary_language
653601184,Swift,,,repository_primary_language
632275206,Swift,,,repository_primary_language
633415187,TypeScript,,,repository_primary_language
499460739,JavaScript,,,repository_primary_language
591033035,Swift,,,repository_primary_language
574222836,TypeScript,,,repository_primary_language
538180525,C++,,,repository_primary_language
601943060,JavaScript,,,repository_primary_language
612354784,C++,,,repository_primary_language
444541448,Rust,,,repository_primary_language
565501357,Swift,,,repository_primary_language
589401835,JavaScript,,,repository_primary_language
593005568,TypeScript,,,repository_primary_language
591273534,Rust,,,repository_primary_language
584483581,Swift,,,repository_primary_language
559507518,JavaScript,,,repository_primary_language
1180722228,TypeScript,,,repository_primary_language
867866058,C++,,,repository_primary_language
994093166,Shell,,,repository_primary_language
1131946571,Python,,,repository_primary_language
975734319,TypeScript,,,repository_primary_language
1079950805,Python,,,repository_primary_language
920603619,Python,,,repository_primary_language
1033293809,Python,,,repository_primary_language
1027579552,Python,,,repository_primary_language
996269100,C,,,repository_primary_language
976771364,Python,,,repository_primary_language
859282056,Python,,,repository_primary_language
962368474,Python,,,repository_primary_language
928597983,Python,,,repository_primary_language
920152532,Python,,,repository_primary_language
829247785,Python,,,repository_primary_language
808907116,Python,,,repository_primary_language
730932260,Python,,,repository_primary_language
838970603,Python,,,repository_primary_language
840672252,Python,,,repository_primary_language
836642963,Python,,,repository_primary_language
186473531,Go,,,repository_primary_language
776122617,Python,,,repository_primary_language
32689863,Python,,,repository_primary_language
808280286,C++,,,repository_primary_language
825242452,C,,,repository_primary_language
821178429,Cuda,,,repository_primary_language
811092760,Python,,,repository_primary_language
813926288,Python,,,repository_primary_language
701547123,Python,,,repository_primary_language
806869531,Python,,,repository_primary_language
790957648,Python,,,repository_primary_language
778490975,Python,,,repository_primary_language
395140743,Python,,,repository_primary_language
784181462,TypeScript,,,repository_primary_language
766972024,Cuda,,,repository_primary_language
784425174,SystemVerilog,,,repository_primary_language
756673810,C++,,,repository_primary_language
689773665,C++,,,repository_primary_language
665758053,Python,,,repository_primary_language
716786243,Python,,,repository_primary_language
760663631,Python,,,repository_primary_language
732850673,Python,,,repository_primary_language
743179447,Python,,,repository_primary_language
599547518,Python,,,repository_primary_language
724854743,C++,,,repository_primary_language
713732525,Python,,,repository_primary_language
612427246,Python,,,repository_primary_language
700521218,Python,,,repository_primary_language
705996574,Python,,,repository_primary_language
725205304,Python,,,repository_primary_language
724438827,Python,,,repository_primary_language
132750724,Markdown,,,repository_primary_language
204459250,C,,,repository_primary_language
636372163,Python,,,repository_primary_language
686267501,Python,,,repository_primary_language
617504730,Python,,,repository_primary_language
577603990,Python,,,repository_primary_language
577082404,Python,,,repository_primary_language
22887094,C++,,,repository_primary_language
552661142,Python,,,repository_primary_language
560704231,Python,,,repository_primary_language
583172165,Python,,,repository_primary_language
416849738,Python,,,repository_primary_language
537603333,Python,,,repository_primary_language
498011141,Python,,,repository_primary_language
432129876,Python,,,repository_primary_language
23496542,MLIR,,,repository_primary_language
382680786,Python,,,repository_primary_language
507972385,Python,,,repository_primary_language
494232964,Python,,,repository_primary_language
182281459,Python,,,repository_primary_language
114506572,Python,,,repository_primary_language
276277805,Python,,,repository_primary_language
184593965,Jupyter Notebook,,,repository_primary_language
273400964,Python,,,repository_primary_language
322324704,Jupyter Notebook,,,repository_primary_language
337811507,Python,,,repository_primary_language
300996055,Python,,,repository_primary_language
149832847,Python,,,repository_primary_language
277005144,Python,,,repository_primary_language
267176885,Python,,,repository_primary_language
38900806,Python,,,repository_primary_language
155220641,Python,,,repository_primary_language
168799526,Python,,,repository_primary_language
142187665,TeX,,,repository_primary_language
120733396,Python,,,repository_primary_language
11195700,TypeScript,,,repository_primary_language
65600975,Python,,,repository_primary_language
83921770,Python,,,repository_primary_language
65177522,Go,,,repository_primary_language
6958220,Shell,,,repository_primary_language
47159356,Jupyter Notebook,,,repository_primary_language
45283644,JavaScript,,,repository_primary_language
55261515,Lua,,,repository_primary_language
51682497,Lua,,,repository_primary_language
1115445111,JavaScript,,,repository_primary_language_from_html
1111863804,TypeScript,,,repository_primary_language_from_html
1035029907,TypeScript,,,repository_primary_language_from_html
1110970432,JavaScript,,,repository_primary_language_from_html
631331440,Go,,,repository_primary_language_from_html
1117431271,TypeScript,,,repository_primary_language_from_html
1132846148,TypeScript,,,repository_primary_language_from_html
1080833716,TypeScript,,,repository_primary_language_from_html
1123200660,TypeScript,,,repository_primary_language_from_html
1141452510,TypeScript,,,repository_primary_language_from_html
1123915293,Rust,,,repository_primary_language_from_html
918420677,Python,,,repository_primary_language_from_html
1157248994,Rust,,,repository_primary_language_from_html
1156286650,TypeScript,,,repository_primary_language_from_html
1091380901,JavaScript,,,repository_primary_language_from_html
1113387014,HTML,,,repository_primary_language_from_html
1078549745,CUE,,,repository_primary_language_from_html
1068038157,TypeScript,,,repository_primary_language_from_html
1059739599,TypeScript,,,repository_primary_language_from_html
1068824131,TypeScript,,,repository_primary_language_from_html
1069365956,Go,,,repository_primary_language_from_html
1077776713,TypeScript,,,repository_primary_language_from_html
1081015496,TypeScript,,,repository_primary_language_from_html
1060944833,Lean,,,repository_primary_language_from_html
1079070157,JavaScript,,,repository_primary_language_from_html
1046107747,Lean,,,repository_primary_language_from_html
451605432,HTML,,,repository_primary_language_from_html
1043001273,Rust,,,repository_primary_language_from_html
835850602,Python,,,repository_primary_language_from_html
800733320,TypeScript,,,repository_primary_language_from_html
385326325,Python,,,repository_primary_language_from_html
154739597,Python,,,repository_primary_language_from_html
77868600,Python,,,repository_primary_language_from_html
184413189,Python,,,repository_primary_language_from_html
125266328,Python,,,repository_primary_language_from_html
25086890,CSS,,,repository_primary_language_from_html
228279841,TypeScript,,,repository_primary_language_from_html
63601480,C++,,,repository_primary_language_from_html
19269804,Python,,,repository_primary_language_from_html
85061275,Python,,,repository_primary_language_from_html
30734725,Jupyter Notebook,,,repository_primary_language_from_html
6167577,JavaScript,,,repository_primary_language_from_html
88426738,Python,,,repository_primary_language_from_html
13313363,Python,,,repository_primary_language_from_html
42757577,Python,,,repository_primary_language_from_html
6481043,Python,,,repository_primary_language_from_html
3723894,Python,,,repository_primary_language_from_html
5983182,C++,,,repository_primary_language_from_html
25245608,CSS,,,repository_primary_language_from_html
1229101,Python,,,repository_primary_language_from_html
