date,open,high,low,close,volume,source,ingested_at_utc,market_quality_flag,missing_calendar_days_before,daily_return,log_return,return_lag_1,return_lag_2,return_lag_3,return_lag_7,rolling_mean_7,rolling_volatility_7,ma_ratio_7,rolling_mean_14,rolling_volatility_14,ma_ratio_14,rolling_mean_30,rolling_volatility_30,ma_ratio_30,volume_change,volume_zscore_30,momentum_7,momentum_30,rsi_14,macd,bollinger_position,high_low_range,open_close_spread,rolling_skew_30,rolling_kurtosis_30,drawdown,volatility_regime,previous_direction,ma_signal,next_day_return,target,sentiment_mean,sentiment_median,max_positive_sentiment,max_negative_sentiment,positive_count,negative_count,neutral_count,article_volume,sentiment_dispersion,positive_news_ratio,negative_news_ratio,sentiment_momentum,sentiment_rolling_7,sentiment_surprise,abnormal_news_volume,extreme_negative_news,sentiment_volume_interaction,feature_timestamp,target_timestamp
2022-01-01 00:00:00+00:00,46311.74609375,47827.3125,46288.484375,47686.8125,24582667004,Yahoo Finance via yfinance,2026-07-31T20:37:44.569614+00:00,False,0.0,,,,,,,,,,,,,,,,,,,,,,,0.03322759893105547,0.029691525848894132,,,0.0,0,0,0,-0.007163274962024402,0,,,,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,2022-01-01 23:59:00+00:00,2022-01-02 23:59:00+00:00
2022-01-02 00:00:00+00:00,47680.92578125,47881.40625,46856.9375,47345.21875,27951569547,Yahoo Finance via yfinance,2026-07-31T20:37:44.569614+00:00,False,0.0,-0.007163274962024402,-0.007189054400020822,,,,,,,,,,,,,,0.13704381800607002,,,,,0.0,,0.02148592405063706,-0.007040698680855167,,,-0.007163274962024402,0,0,0,-0.0187368774698079,0,,,,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,2022-01-02 23:59:00+00:00,2022-01-03 23:59:00+00:00
2022-01-03 00:00:00+00:00,47343.54296875,47510.7265625,45835.96484375,46458.1171875,33071628362,Yahoo Finance via yfinance,2026-07-31T20:37:44.569614+00:00,False,0.0,-0.0187368774698079,-0.01891463669576332,-0.007163274962024402,,,,,,,,,,,,,0.18317607554705373,,,,,-27.2496438746457,,0.03537465964166345,-0.018702144489575738,,,-0.025765935026586195,0,0,0,-0.012065555013512697,0,,,,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,2022-01-03 23:59:00+00:00,2022-01-04 23:59:00+00:00
2022-01-04 00:00:00+00:00,46458.8515625,47406.546875,45752.46484375,45897.57421875,42494677905,Yahoo Finance via yfinance,2026-07-31T20:37:44.569614+00:00,False,0.0,-0.012065555013512697,-0.012138934663861178,-0.0187368774698079,-0.007163274962024402,,,,,,,,,,,,0.28492850245702694,,,,,-119.0544793163208,,0.03560316227414279,-0.012081171291867317,,,-0.03752060973356108,0,0,0,-0.050734060615097554,0,,,,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,2022-01-04 23:59:00+00:00,2022-01-05 23:59:00+00:00
2022-01-05 00:00:00+00:00,45899.359375,46929.046875,42798.22265625,43569.00390625,36851084859,Yahoo Finance via yfinance,2026-07-31T20:37:44.569614+00:00,False,0.0,-0.050734060615097554,-0.05206628845481376,-0.012065555013512697,-0.0187368774698079,-0.007163274962024402,,,,,,,,,,,-0.13280705547684513,,,,,-234.34027690662333,,0.08999742643466906,-0.05077098025946032,,,-0.08635109746012071,0,0,0,-0.009366159015892994,0,,,,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,2022-01-05 23:59:00+00:00,2022-01-06 23:59:00+00:00
2022-01-06 00:00:00+00:00,43565.51171875,43748.71875,42645.5390625,43160.9296875,30208048289,Yahoo Finance via yfinance,2026-07-31T20:37:44.569614+00:00,False,0.0,-0.009366159015892994,-0.009410297303588777,-0.050734060615097554,-0.012065555013512697,-0.0187368774698079,,,,,,,,,,,-0.18026705578458968,,,,,-507.748259754786,,0.025322316758767845,-0.009286750351101086,,,-0.09490847836600524,0,0,0,-0.03714070469186992,0,,,,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,2022-01-06 23:59:00+00:00,2022-01-07 23:59:00+00:00
2022-01-07 00:00:00+00:00,43153.5703125,43153.5703125,41077.4453125,41557.90234375,84196607520,Yahoo Finance via yfinance,2026-07-31T20:37:44.569614+00:00,False,0.0,-0.03714070469186992,-0.037847988650375086,-0.009366159015892994,-0.050734060615097554,-0.012065555013512697,,,,,,,,,,,1.7872243421518719,,,,,-748.7234175018748,,0.04811015600715251,-0.036976499445928665,,,-0.1285242152901287,0,0,0,0.004235994902819673,1,,,,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,2022-01-07 23:59:00+00:00,2022-01-08 23:59:00+00:00
2022-01-08 00:00:00+00:00,41561.46484375,42228.94140625,40672.27734375,41733.94140625,28066355845,Yahoo Finance via yfinance,2026-07-31T20:37:44.569614+00:00,False,0.0,0.004235994902819673,0.0042270483325967945,-0.03714070469186992,-0.009366159015892994,-0.050734060615097554,,,,-0.07456379852420425,,,,,,,-0.6666569274975462,,-0.12483264830816698,,,-1056.8659825601135,,0.03745450427101803,0.004149915387930245,,,-0.12483264830816698,0,1,0,0.004256970472081845,1,,,,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,2022-01-08 23:59:00+00:00,2022-01-09 23:59:00+00:00
2022-01-09 00:00:00+00:00,41734.7265625,42663.94921875,41338.16015625,41911.6015625,21294384372,Yahoo Finance via yfinance,2026-07-31T20:37:44.569614+00:00,False,0.0,0.004256970472081845,0.004247935206112885,0.004235994902819673,-0.03714070469186992,-0.009366159015892994,-0.007163274962024402,-0.0187100909807694,0.018958435285101865,-0.052761638788569654,,,,,,,-0.2412843160116357,,-0.11476591155257887,,,-1272.201161223289,,0.03176704801251206,0.0042380773655032854,,,-0.1211070867338847,0,1,0,-0.0021554853640055605,0,,,,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,2022-01-09 23:59:00+00:00,2022-01-10 23:59:00+00:00
2022-01-10 00:00:00+00:00,41910.23046875,42199.484375,39796.5703125,41821.26171875,32104232331,Yahoo Finance via yfinance,2026-07-31T20:37:44.569614+00:00,False,0.0,-0.0021554853640055605,-0.002157811766201334,0.004256970472081845,0.004235994902819673,-0.03714070469186992,-0.0187368774698079,-0.01707862734732565,0.02054287730274545,-0.0379252474280406,,,,,,,0.5076384350990619,,-0.09980721883403376,,,-1412.2407199482986,,0.05733478522127699,-0.0021228408673710057,,,-0.12300152754495808,0,0,0,0.021869109453241498,1,,,,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,2022-01-10 23:59:00+00:00,2022-01-11 23:59:00+00:00
