split,attack,defense,operating_point,rate,ci_low,ci_high,mean_score,clean_rate,delta
benign,clean,none,fpr_1pct,0.01,0.0,0.023333333333333334,0.012515751415630803,0.01,0.0
benign,zero_width,none,fpr_1pct,0.01,0.0,0.023333333333333334,0.012515751415630803,0.01,0.0
benign,homoglyph,none,fpr_1pct,0.20666666666666667,0.16333333333333333,0.25333333333333335,0.14572111733529405,0.01,0.19666666666666666
benign,devowel,none,fpr_1pct,0.7133333333333334,0.6633333333333333,0.7634166666666662,0.416215926631509,0.01,0.7033333333333334
benign,leetspeak,none,fpr_1pct,0.7433333333333333,0.69,0.7933333333333333,0.38512387341354043,0.01,0.7333333333333333
benign,repeated,none,fpr_1pct,0.96,0.9366666666666666,0.98,0.7481939800145725,0.01,0.95
benign,spaced,none,fpr_1pct,0.99,0.9766666666666667,1.0,0.9105541947111487,0.01,0.98
benign,clean,normalized,fpr_1pct,0.01,0.0,0.023333333333333334,0.012516386959468946,0.01,0.0
benign,homoglyph,normalized,fpr_1pct,0.01,0.0,0.023333333333333334,0.012516386959468946,0.01,0.0
benign,zero_width,normalized,fpr_1pct,0.01,0.0,0.023333333333333334,0.012516386959468946,0.01,0.0
benign,devowel,normalized,fpr_1pct,0.7133333333333334,0.6633333333333333,0.7634166666666662,0.41638660721403237,0.01,0.7033333333333334
benign,leetspeak,normalized,fpr_1pct,0.7433333333333333,0.69,0.7933333333333333,0.3846729918926333,0.01,0.7333333333333333
benign,repeated,normalized,fpr_1pct,0.96,0.9366666666666666,0.98,0.7482833559873203,0.01,0.95
benign,spaced,normalized,fpr_1pct,0.99,0.9766666666666667,1.0,0.9105543159072598,0.01,0.98
benign,clean,none,high_recall,0.07,0.043333333333333335,0.1,0.012515751415630803,0.07,0.0
benign,zero_width,none,high_recall,0.07,0.043333333333333335,0.1,0.012515751415630803,0.07,0.0
benign,devowel,none,high_recall,0.92,0.8899166666666667,0.95,0.416215926631509,0.07,0.8500000000000001
benign,homoglyph,none,high_recall,0.9233333333333333,0.8933333333333333,0.9533333333333334,0.14572111733529405,0.07,0.8533333333333333
benign,leetspeak,none,high_recall,0.9633333333333334,0.94,0.9833333333333333,0.38512387341354043,0.07,0.8933333333333333
benign,repeated,none,high_recall,0.9866666666666667,0.9732500000000001,0.9966666666666667,0.7481939800145725,0.07,0.9166666666666667
benign,spaced,none,high_recall,0.9966666666666667,0.99,1.0,0.9105541947111487,0.07,0.9266666666666667
benign,clean,normalized,high_recall,0.07,0.043333333333333335,0.1,0.012516386959468946,0.07,0.0
benign,homoglyph,normalized,high_recall,0.07,0.043333333333333335,0.1,0.012516386959468946,0.07,0.0
benign,zero_width,normalized,high_recall,0.07,0.043333333333333335,0.1,0.012516386959468946,0.07,0.0
benign,devowel,normalized,high_recall,0.92,0.8899166666666667,0.95,0.41638660721403237,0.07,0.8500000000000001
benign,leetspeak,normalized,high_recall,0.9633333333333334,0.94,0.9833333333333333,0.3846729918926333,0.07,0.8933333333333333
benign,repeated,normalized,high_recall,0.9866666666666667,0.9732500000000001,0.9966666666666667,0.7482833559873203,0.07,0.9166666666666667
benign,spaced,normalized,high_recall,0.9966666666666667,0.99,1.0,0.9105543159072598,0.07,0.9266666666666667
toxic,homoglyph,none,fpr_1pct,0.30333333333333334,0.25333333333333335,0.3566666666666667,0.2142803986374444,0.78,-0.4766666666666667
toxic,leetspeak,none,fpr_1pct,0.7566666666666667,0.71,0.8033333333333333,0.4557607797292682,0.78,-0.023333333333333317
toxic,clean,none,fpr_1pct,0.78,0.7333333333333333,0.8233333333333334,0.6052955918534038,0.78,0.0
toxic,zero_width,none,fpr_1pct,0.78,0.7333333333333333,0.8233333333333334,0.6052955918534038,0.78,0.0
toxic,devowel,none,fpr_1pct,0.8,0.7533333333333333,0.8433333333333334,0.5029247563087847,0.78,0.020000000000000018
toxic,repeated,none,fpr_1pct,0.9833333333333333,0.97,0.9966666666666667,0.8038716735256215,0.78,0.20333333333333325
toxic,spaced,none,fpr_1pct,0.9966666666666667,0.99,1.0,0.929398593865335,0.78,0.21666666666666667
toxic,leetspeak,normalized,fpr_1pct,0.7566666666666667,0.71,0.8033333333333333,0.4559231133766783,0.78,-0.023333333333333317
toxic,clean,normalized,fpr_1pct,0.78,0.7333333333333333,0.8233333333333334,0.6054340107017196,0.78,0.0
toxic,homoglyph,normalized,fpr_1pct,0.78,0.7333333333333333,0.8233333333333334,0.6054340107017196,0.78,0.0
toxic,zero_width,normalized,fpr_1pct,0.78,0.7333333333333333,0.8233333333333334,0.6054340107017196,0.78,0.0
toxic,devowel,normalized,fpr_1pct,0.8,0.7533333333333333,0.8433333333333334,0.5027318903931882,0.78,0.020000000000000018
toxic,repeated,normalized,fpr_1pct,0.9833333333333333,0.97,0.9966666666666667,0.8040782308392227,0.78,0.20333333333333325
toxic,spaced,normalized,fpr_1pct,0.9966666666666667,0.99,1.0,0.9293920383478205,0.78,0.21666666666666667
toxic,homoglyph,none,high_recall,0.9333333333333333,0.9066666666666666,0.9600833333333328,0.2142803986374444,0.95,-0.016666666666666607
toxic,clean,none,high_recall,0.95,0.9233333333333333,0.9733333333333334,0.6052955918534038,0.95,0.0
toxic,zero_width,none,high_recall,0.95,0.9233333333333333,0.9733333333333334,0.6052955918534038,0.95,0.0
toxic,devowel,none,high_recall,0.95,0.9233333333333333,0.9733333333333334,0.5029247563087847,0.95,0.0
toxic,leetspeak,none,high_recall,0.9666666666666667,0.9465833333333333,0.9866666666666667,0.4557607797292682,0.95,0.01666666666666672
toxic,repeated,none,high_recall,0.9966666666666667,0.99,1.0,0.8038716735256215,0.95,0.046666666666666745
toxic,spaced,none,high_recall,1.0,1.0,1.0,0.929398593865335,0.95,0.050000000000000044
toxic,clean,normalized,high_recall,0.95,0.9233333333333333,0.9733333333333334,0.6054340107017196,0.95,0.0
toxic,homoglyph,normalized,high_recall,0.95,0.9233333333333333,0.9733333333333334,0.6054340107017196,0.95,0.0
toxic,zero_width,normalized,high_recall,0.95,0.9233333333333333,0.9733333333333334,0.6054340107017196,0.95,0.0
toxic,devowel,normalized,high_recall,0.95,0.9233333333333333,0.9733333333333334,0.5027318903931882,0.95,0.0
toxic,leetspeak,normalized,high_recall,0.9666666666666667,0.9465833333333333,0.9866666666666667,0.4559231133766783,0.95,0.01666666666666672
toxic,repeated,normalized,high_recall,0.9966666666666667,0.99,1.0,0.8040782308392227,0.95,0.046666666666666745
toxic,spaced,normalized,high_recall,1.0,1.0,1.0,0.9293920383478205,0.95,0.050000000000000044
